fecha,canal,campana,impresiones,clicks,conversiones,gasto,ingresos,segmento,ctr,tasa_de_conversion,ROI,CPA,mes
2024-01-01,Instagram,LanzamientoProducto,6840,4940,221,821.0085859771706,5533.971195485232,26-35,72.22222222222221,4.473684210526316,574.0454716315369,3.714970977272265,2024-01
2024-01-02,TikTok,Navidad,29290,3122,274,881.773971528951,1231.886609309495,46+,10.658927961761695,8.77642536835362,39.705485655634234,3.218153180762595,2024-01
2024-01-03,Instagram,BlackFriday,37866,4872,313,4995.427996115367,5489.177508349995,18-25,12.866423704642688,6.4244663382594425,9.884028207764906,15.959833853403728,2024-01
2024-01-04,Facebook,Descuento10,12127,2680,71,1945.0378422518916,11838.700604426464,18-25,22.099447513812155,2.6492537313432836,508.66171070070607,27.39489918664636,2024-01
2024-01-05,Email,BlackFriday,32368,2573,411,2841.3544800370114,1955.792112477097,26-35,7.949209095402868,15.973571706179557,-31.166909084444093,6.9132712409659645,2024-01
2024-01-06,Instagram,Navidad,40520,4432,403,4729.187846425144,4998.589532538538,18-25,10.937808489634747,9.092960288808664,5.696574017820807,11.734957435298124,2024-01
2024-01-07,Email,BlackFriday,39890,4631,253,3059.4761911032706,12876.959313471541,26-35,11.60942592128353,5.463182897862233,320.88771113554606,12.092791269182888,2024-01
2024-01-08,Facebook,Descuento10,30977,3754,41,4363.204029560722,2848.0621528341335,36-45,12.118668689672983,1.0921683537559936,-34.725441818936204,106.41961047709079,2024-01
2024-01-09,Facebook,BlackFriday,13791,2396,202,3565.752442611635,6135.4538801366425,36-45,17.373649481545936,8.430717863105174,72.0661761825199,17.652239814909084,2024-01
2024-01-10,Google Ads,Descuento10,3709,2565,427,4293.796800164497,8535.683637884567,18-25,69.15610676732274,16.647173489278753,98.79104753065079,10.055730211158073,2024-01
2024-01-11,Facebook,Verano2024,20963,3152,121,2404.455728700591,3080.1187124948824,18-25,15.036015837427849,3.838832487309644,28.100454324415086,19.87153494793877,2024-01
2024-01-12,Facebook,Descuento10,39648,2618,193,4751.963111988043,10659.484892482673,36-45,6.603107344632768,7.372039724980901,124.31750081542918,24.621570528435456,2024-01
2024-01-13,Google Ads,Descuento10,41384,685,396,713.7797251519879,11828.950072214804,18-25,1.6552290740382756,57.81021897810219,1557.2269644806763,1.8024740534141108,2024-01
2024-01-14,Google Ads,LanzamientoProducto,35642,1518,463,4057.5885874326564,9701.463907628486,46+,4.259020257000168,30.500658761528328,139.09432162926254,8.763690253634246,2024-01
2024-01-15,Facebook,BlackFriday,13613,4528,475,1252.9319051515204,12996.211089696375,26-35,33.26232277969588,10.490282685512367,937.2639595385442,2.6377513792663585,2024-01
2024-01-16,Email,BlackFriday,36967,2568,149,3132.1890565977274,2395.166890473428,46+,6.94673627830227,5.802180685358255,-23.53057726741673,21.021403064414276,2024-01
2024-01-17,TikTok,LanzamientoProducto,4052,137,137,3903.684886336618,547.7772681312449,46+,3.3810463968410662,100.0,-85.96768734975169,28.49405026523079,2024-01
